学籍番号 点数
99JK001 60
99JK002 30
99JK003 25
99JK004 100
99JK005 99
99JK006 75
99JK007 70
99JK008 25
99JK009 20
99JK009 88
99JK010 10
99JK022 80
99JK023 88
99JK024 20
99JK025 100
99JK026 99
99JK030 59
99JK031 48
99JK033 77
99JK035 75
99JK038 88
99JK039 55
99JK040 60
99JK041 33
99JK042 99
99JK043 75
99JK046 100
99JK046 70
99JK053 75
99JK055 65
99JK056 40
99JK057 60
99JK059 90
99JK060 60
99JK061 69
99JK065 75
99JK066 33
99JK068 85
99JK070 25
99JK071 100
99JK072 20
99JK073 80
99JK079 45
99JK080 67
99JK081 72
99JK083 100
99JK085 89
99JK094 79
99JK095 71
99JK099 60

～重複しているデータ～
99JK009 20#99object.csv
99JK009 88#99object5.csv
99JK046 100#99object3.csv
99JK046 70#99object3.csv
